"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"ICM7555IBAZ-T","Renesas Electronics America Inc","ICM7555IBAZ-TCT-ND","","U1","Cut Tape (CT)","Active","10","0.66500","$6.65","46013","14 Weeks","IC OSC SINGLE TIMER 1MHZ 8-SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"BC857BLT3G","ON Semiconductor","BC857BLT3GOSCT-ND","","Q1","Cut Tape (CT)","Active","10","0.09300","$0.93","34828","44 Weeks","TRANS PNP 45V 100MA SOT23-3","ROHS3 Compliant","Lead free","REACH Unaffected"
"S8211-46R","Harwin Inc.","952-1735-1-ND","","BAT1","Cut Tape (CT)","Active","5","0.87000","$4.35","3158","28 Weeks","BATTERY RETAINER COIN 20MM SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"CR2032VP","Energizer Battery Company","N189-ND","CR2032","","Bulk","Active","5","0.50000","$2.50","440700","18 Weeks","BATTERY LITHIUM 3V COIN 20MM","Not applicable","Lead free","Not Available"
"TL3342F160QG/TR","E-Switch","EG2531CT-ND","","SW1","Cut Tape (CT)","Active","5","0.59000","$2.95","27562","12 Weeks","SWITCH TACTILE SPST-NO 0.05A 12V","ROHS3 Compliant","Lead free","REACH Unaffected"
"JS102011SAQN","C&K","401-1999-1-ND","","SW2","Cut Tape (CT)","Active","5","0.63000","$3.15","8178","11 Weeks","SWITCH SLIDE SPDT 300MA 6V","ROHS3 Compliant","Lead free","REACH Unaffected"
"CD74HC4017M96","Texas Instruments","296-12808-1-ND","","U2","Cut Tape (CT)","Active","5","0.56000","$2.80","3210","6 Weeks","IC DECADE COUNTER/DIVIDER 16SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0805FR-0710ML","Yageo","311-10.0MCRCT-ND","","R1","Cut Tape (CT)","Active","10","0.04200","$0.42","358114","20 Weeks","RES SMD 10M OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0805FR-074M7L","Yageo","311-4.70MCRCT-ND","","R2","Cut Tape (CT)","Active","10","0.04200","$0.42","37","20 Weeks","RES SMD 4.7M OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0805FR-073M3L","Yageo","311-3.30MCRCT-ND","","R3","Cut Tape (CT)","Active","10","0.04200","$0.42","32416","20 Weeks","RES SMD 3.3M OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0805FR-07470RL","Yageo","311-470CRCT-ND","","R5","Cut Tape (CT)","Active","10","0.04200","$0.42","140893","20 Weeks","RES SMD 470 OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0805FR-0710KL","Yageo","311-10.0KCRCT-ND","","R4","Cut Tape (CT)","Active","10","0.04200","$0.42","10496303","20 Weeks","RES SMD 10K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"CC0805ZRY5V7BB104","Yageo","311-4354-1-ND","C2","","Cut Tape (CT)","Active","10","0.08900","$0.89","10125","20 Weeks","CAP CER 0.1UF 16V Y5V 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"CC0805ZRY5V7BB105","Yageo","311-1457-1-ND","C1","","Cut Tape (CT)","Active","10","0.10200","$1.02","80773","24 Weeks","CAP CER 1UF 16V Y5V 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"EAST2012AA1","Everlight Electronics Co Ltd","1080-EAST2012AA1CT-ND","D1-D6","","Cut Tape (CT)","Active","45","0.14000","$6.30","747","12 Weeks","PCB TOP VIEW SMD LED ORANGE","ROHS3 Compliant","Not Available","Not Available"
